Word,CEFR,Receptive_freq
bred,B1,2
bred,B2,6
bred,C1,8
briljant,C1,2
brittisk,B2,2
brittisk,C1,12
brokig,B2,1
brun,A1,1
brun,A2,14
brun,B1,17
brun,B2,3
brun,C1,2
brutal,B2,8
brutal,C1,3
bruten,C1,7
bullrig,C1,1
burdus,C1,3
burmansk,B2,1
busig,B1,4
bussig,B1,1
bysantinsk,B1,1
byxlös,B1,1
central,A2,2
central,B1,5
central,B2,5
central,C1,4
chanslös,B2,2
chanslös,C1,2
charmig,A2,2
charmig,B1,3
charmig,B2,1
charmig,C1,2
chilensk,A2,1
chilensk,B1,2
chilensk,C1,1
chockrosa,C1,1
cirkulär,C1,1
civil,A2,2
civil,B2,2
civil,C1,1
cool,B2,1
cool,C1,1
daglig,A2,1
daglig,B1,5
daglig,C1,5
dålig,A1,6
dålig,A2,13
dålig,B1,61
dålig,B2,84
dålig,C1,73
dämpad,C1,1
dansk,A1,4
dansk,A2,3
dansk,B1,17
dansk,B2,5
dansk,C1,2
darrig,B1,1
darrig,C1,1
dåvarande,B1,1
dåvarande,C1,4
defensiv,B2,9
delaktig,B2,1
delaktig,C1,1
dement,B2,2
demokratisk,C1,2
demonstrativ,A2,2
demonstrativ,B2,1
demonstrativ,C1,1
deppig,B1,1
desperat,A2,2
desperat,B1,2
desperat,B2,1
desperat,C1,1
dialektal,B2,1
dialektal,C1,3
diffus,C1,2
digital,B1,1
digital,B2,2
digital,C1,1
direkt,A2,1
direkt,B1,4
direkt,B2,9
direkt,C1,5
diverse,B2,2
diverse,C1,2
djärv,B2,1
djärv,C1,5
djup,A1,1
djup,A2,1
djup,B1,7
djup,B2,12
djup,C1,15
död,A2,3
död,B1,6
död,B2,8
död,C1,8
dödlig,B2,2
dödlig,C1,1
dödsdömd,B2,1
dödstrött,A2,3
dödstrött,B1,2
dödstrött,C1,1
dominant,B2,1
döv,B2,1
döv,C1,9
dragig,C1,2
dräktig,B1,1
dramatisk,C1,7
drastisk,C1,3
dravidisk,B2,1
drickbar,B1,1
drickbar,B2,1
drickbar,C1,1
driftig,B2,1
driftig,C1,1
dryg,B2,1
dryg,C1,4
dubbel,B2,2
dubbel,C1,1
dubbelsidig,A2,1
duktig,A2,10
duktig,B1,22
duktig,B2,18
duktig,C1,15
dum,A2,8
dum,B1,15
dum,B2,6
dum,C1,17
dunkel,B2,1
dunkel,C1,1
dylik,B1,1
dylik,C1,3
dynamisk,C1,1
dyr,A1,5
dyr,A2,24
dyr,B1,47
dyr,B2,20
dyr,C1,4
dyrbar,B1,3
dyrbar,B2,2
dyrbar,C1,1
dyster,B1,1
dyster,B2,3
dyster,C1,10
effektiv,A2,1
effektiv,B1,6
effektiv,B2,11
effektiv,C1,9
eftersökt,B1,1
eftersökt,C1,9
eftertänksam,B1,2
eftertänksam,B2,2
egen,A1,4
egen,A2,31
egen,B1,105
egen,B2,81
egen,C1,134
egendomlig,B2,1
egendomlig,C1,13
egendomslös,C1,2
egensinnig,B1,1
egentlig,C1,5
egoistisk,C1,4
ekologisk,A2,3
ekologisk,B2,7
elak,A2,1
elak,B1,5
elak,B2,3
elak,C1,10
eldfast,B1,1
eldfast,B2,1
eldröd,B1,1
elegant,B1,5
elegant,B2,2
elegant,C1,6
elektrisk,B2,4
elektrisk,C1,1
elektronisk,A2,1
elektronisk,B1,2
elektronisk,C1,2
ena,B1,16
ena,B2,23
ena,C1,23
enda,B1,15
enda,B2,21
enda,C1,34
endimensionell,C1,2
energisk,B2,4
energisk,C1,3
energisnål,B2,1
engelsk,A1,21
engelsk,A2,11
engelsk,B1,18
engelsk,B2,14
engelsk,C1,39
engelskspråkig,C1,1
enhetlig,B2,2
enhetlig,C1,9
enig,B2,7
enig,C1,1
enkel,A1,1
enkel,A2,9
enkel,B1,23
enkel,B2,27
enkel,C1,32
enkelriktad,B2,1
enkelriktad,C1,1
enorm,B1,3
enorm,B2,11
enorm,C1,12
ensam,A1,14
ensam,A2,25
ensam,B1,34
ensam,B2,32
ensam,C1,33
ensamstående,A2,1
ensamstående,B1,2
ensamstående,B2,5
ensamstående,C1,12
enskild,B1,3
enskild,B2,5
enskild,C1,13
enslig,B2,1
enslig,C1,5
enspråkig,A2,1
enspråkig,B2,4
enspråkig,C1,1
enstaka,B1,1
enstaka,C1,22
enstämmig,C1,2
entydig,B2,1
entydig,C1,1
enväldig,B1,1
enväldig,B2,1
enväldig,C1,1
envis,A2,1
envis,B1,2
envis,B2,3
envis,C1,1
estetisk,B1,2
estnisk,B1,1
estnisk,B2,1
estnisk,C1,4
etisk,B2,1
etnisk,A2,1
etnisk,C1,6
etnografisk,C1,2
etymologisk,B2,2
europeisk,A2,1
europeisk,B1,6
europeisk,B2,3
europeisk,C1,7
eventuell,A2,1
eventuell,B1,3
eventuell,B2,9
eventuell,C1,14
evig,B1,2
evig,B2,1
evig,C1,1
exakt,A2,1
exakt,B1,1
exakt,B2,2
exakt,C1,4
excentrisk,B2,4
exklusiv,C1,1
exotisk,A2,2
exotisk,B1,5
exotisk,B2,6
explosiv,C1,1
extensiv,A2,1
extra,A2,3
extra,B1,7
extra,B2,11
extra,C1,15
extraordinär,C1,2
extrem,B2,2
extrem,C1,2
få,A2,1
få,B1,8
få,B2,26
få,C1,20
facklig,C1,1
faderlig,C1,3
faktisk,B2,1
faktisk,C1,2
falsk,A2,2
falsk,B1,4
falsk,B2,2
falsk,C1,3
fånig,B2,1
fånig,C1,2
fantasifull,B1,1
fantasifull,B2,2
fantastisk,A1,1
fantastisk,A2,7
fantastisk,B1,12
fantastisk,B2,11
fantastisk,C1,10
färdig,A1,1
färdig,A2,15
färdig,B1,4
färdig,B2,14
färdig,C1,12
färgblind,B1,1
färgglad,B1,1
färgglad,C1,1
färglös,A2,1
färglös,C1,3
färgstark,B2,1
färgstark,C1,1
farlig,A2,10
farlig,B1,30
farlig,B2,21
farlig,C1,20
färöisk,B1,1
färsk,A1,1
färsk,A2,2
färsk,B1,10
färsk,B2,2
färsk,C1,1
fast,A2,1
fast,B1,2
fast,B2,17
fast,C1,20
fattig,A2,4
fattig,B1,20
fattig,B2,19
fattig,C1,24
feberfri,A2,1
feg,B2,1
fel,A1,4
fel,A2,11
fel,B1,16
fel,B2,16
fel,C1,16
felaktig,B1,1
felaktig,B2,2
felaktig,C1,12
feministisk,B1,1
femtioårig,B2,1
festlig,C1,1
fet,A1,2
fet,A2,4
fet,B1,3
fet,B2,6
fet,C1,1
fiffig,B2,3
fiffig,C1,5
fiktiv,C1,1
filippinsk,C1,1
filosofisk,C1,2
fin,A1,10
fin,A2,10
fin,B1,22
fin,B2,17
fin,C1,20
finsk,A1,5
finsk,A2,7
finsk,B1,5
finsk,B2,3
finsk,C1,3
finsk-ugrisk,B1,1
finsk-ugrisk,C1,1
finstämd,B2,1
fjärran,B1,1
fjärran,B2,1
fjärran,C1,1
flashig,C1,1
flerårig,C1,1
flerspråkig,C1,13
flexibel,B1,1
flexibel,B2,6
flexibel,C1,1
flitig,A2,3
flitig,B1,1
flitig,B2,5
flitig,C1,1
flyttbar,B1,1
flyttbar,B2,2
flyttbar,C1,1
född,B2,1
folkkär,B1,3
folkkär,B2,3
folklig,C1,1
